state,income,level
Alabama,79500,0.515
Alaska,81614,0.4637
Arizona,74759,0.5906
Arkansas,69038,0.47125
California,81614,0.4637
Colorado,74759,0.5906
Connecticut,92583,0.4447
Delaware,79986,0.4847
District of Columbia,79986,0.4847
Florida,79986,0.4847
Georgia,79986,0.4847
Hawaii,81614,0.4637
Idaho,74759,0.5906
Illinois,81000,0.5189
Indiana,81000,0.5189
Iowa,81241,0.4234
Kansas,81241,0.4234
Kentucky,79500,0.515
Louisiana,81000,0.5189
Maine,92583,0.4447
Maryland,79986,0.4847
Massachusetts,92583,0.4447
Michigan,81000,0.5189
Minnesota,81241,0.4234
Mississippi,79500,0.515
Missouri,81241,0.4234
Montana,74759,0.5906
Nebraska,81241,0.4234
Nevada,74759,0.5906
New Hampshire,92583,0.4447
New Jersey,98755,0.5233
New Mexico,74759,0.5906
New York,98755,0.5233
North Carolina,79986,0.4847
North Dakota,81241,0.4234
Ohio,81000,0.5189
Oklahoma,69038,0.47125
Oregon,81614,0.4637
Pennsylvania,98755,0.5233
Rhode Island,92583,0.4447
South Carolina,79986,0.4847
South Dakota,81241,0.4234
Tennessee,79500,0.515
Texas,69038,0.47125
Utah,74759,0.5906
Vermont,92583,0.4447
Virginia,79986,0.4847
Washington,81614,0.4637
West Virginia,79986,0.4847
Wisconsin,81000,0.5189
Wyoming,74759,0.5906
